"","all.common","cd4_common.avg","cd22_common.avg","moto_common.avg","glia_common.avg"
"5021","ENSMUSG00000021917",39.9858041182061,181.750955008023,114.994269522025,90.0760905221772
"5022","ENSMUSG00000022889",39.9858041182061,153.847102317378,108.560337128865,60.9105222302399
"5023","ENSMUSG00000026110",39.9858041182061,271.332565880175,199.126868629373,37.1512954248929
"5024","ENSMUSG00000026199",39.9858041182061,149.115683991674,111.557374987943,14.1492973023494
"5025","ENSMUSG00000028405",39.9858041182061,128.051431840839,88.4384643918638,39.3161202607059
"5026","ENSMUSG00000029310",39.9858041182061,111.438225936154,51.9797098580713,42.9212752589811
"5027","ENSMUSG00000029474",39.9858041182061,231.834490416887,573.819481065597,72.034107125173
"5028","ENSMUSG00000032245",39.9858041182061,144.976006218283,125.912504057651,17.2074324054244
"5029","ENSMUSG00000032763",39.9858041182061,206.05083657437,198.892334917149,18.5968059043588
"5030","ENSMUSG00000037017",39.9858041182061,227.776763069325,212.654307154091,5.91518637139256
"5031","ENSMUSG00000042055",40.1700704966311,249.514402413763,264.421741180005,360.659798714392
"5032","ENSMUSG00000042579",40.1700704966311,257.931727681493,233.274958269202,6.85547454396323
"5033","ENSMUSG00000043004",40.1700704966311,94.3982363438547,30.5659232615563,18.1558841875139
"5034","ENSMUSG00000045414",40.1700704966311,324.175684609924,77.9880809870878,280.947447135281
"5035","ENSMUSG00000050608",40.1700704966311,204.113151129538,165.92756033779,95.6881816392838
"5036","ENSMUSG00000053477",40.1700704966311,134.120137883056,34.4315185449638,57.5869255146671
"5037","ENSMUSG00000002017",40.1700704966311,227.472181595778,108.280428097476,27.708228469412
"5038","ENSMUSG00000004393",40.1700704966311,286.188167401587,193.82551059891,31.1314697042244
"5039","ENSMUSG00000018923",40.1700704966311,243.826698968559,343.031494724389,11.9626782080452
"5040","ENSMUSG00000024772",40.1700704966311,190.38665775815,242.716389422205,37.9296813839076
"5041","ENSMUSG00000025184",40.1700704966311,193.513423176295,233.099921500059,38.7513267728088
"5042","ENSMUSG00000026456",40.1700704966311,192.877982953585,34.2439239579589,20.2259079516231
"5043","ENSMUSG00000026810",40.1700704966311,542.317108591707,201.787052886114,99.726563418952
"5044","ENSMUSG00000028572",40.1700704966311,144.048181550963,88.7413381705892,11.7295067059315
"5045","ENSMUSG00000029389",40.1700704966311,303.297549011441,88.1154507146343,38.4239045507337
"5046","ENSMUSG00000031605",40.354336875056,239.660809130244,59.6349243064517,100.399419682774
"5047","ENSMUSG00000032398",40.354336875056,205.093266341101,80.3662053240542,34.8807327894281
"5048","ENSMUSG00000033306",40.354336875056,133.739187668563,199.039811621017,28.6263602222508
"5049","ENSMUSG00000037395",40.354336875056,204.448892648459,34.5698164553114,31.4806695431917
"5050","ENSMUSG00000037960",40.354336875056,223.84364019953,363.603783757632,26.4055881468758
"5051","ENSMUSG00000038500",40.354336875056,186.755230500489,463.369552962271,17.8959380080209
"5052","ENSMUSG00000040105",40.354336875056,129.62043398514,34.1239085988951,55.1609218666537
"5053","ENSMUSG00000040236",40.354336875056,58.9342183714266,936.23289817291,280.989169936171
"5054","ENSMUSG00000053870",40.354336875056,295.193508124361,74.5413876703297,41.0334830328813
"5055","ENSMUSG00000062373",40.354336875056,105.659858713542,45.1240835562536,19.1515381333823
"5056","ENSMUSG00000073481",40.354336875056,209.303593466752,153.156398650742,32.2075603094392
"5057","ENSMUSG00000001054",40.354336875056,36.8607471953421,12.7201485125751,8.98743439886959
"5058","ENSMUSG00000001467",40.354336875056,155.781195079293,65.0212753349979,21.6971399461754
"5059","ENSMUSG00000002763",40.5386032534809,107.167982124464,11.4582602123561,78.9925580332738
"5060","ENSMUSG00000022125",40.5386032534809,221.166160478338,50.8283316754059,18.6034249900682
"5061","ENSMUSG00000022346",40.5386032534809,162.77235024319,71.8112995410326,37.7250380473815
"5062","ENSMUSG00000022400",40.5386032534809,196.758064136415,15.5892624839565,264.793132721031
"5063","ENSMUSG00000023923",40.5386032534809,182.2584470054,67.2471209871056,17.6993444025202
"5064","ENSMUSG00000025157",40.5386032534809,194.402108338351,29.1446625576971,143.9238854862
"5065","ENSMUSG00000025579",40.5386032534809,215.579583928641,140.184943709423,50.9601515732517
"5066","ENSMUSG00000027122",40.5386032534809,241.950299669986,140.660996910072,5.10339947416955
"5067","ENSMUSG00000027865",40.7228696319058,320.494006763142,361.870524452817,6.92921884809565
"5068","ENSMUSG00000029438",40.7228696319058,373.504684342421,208.926488512347,35.0047358403259
"5069","ENSMUSG00000031059",40.7228696319058,42.3853100887489,16.1060627790076,5.19161685025391
"5070","ENSMUSG00000031984",40.7228696319058,136.946247211927,55.6197224952566,50.4966071265392
"5071","ENSMUSG00000035666",40.7228696319058,377.45970425485,78.6003351809881,21.8062962826001
"5072","ENSMUSG00000035845",40.7228696319058,221.37874248983,316.175140460118,49.7718645257108
"5073","ENSMUSG00000040414",40.7228696319058,79.280418682169,60.7757218034137,96.3658107196198
"5074","ENSMUSG00000052446",40.7228696319058,249.338499887724,599.987017935202,3.61318732830814
"5075","ENSMUSG00000062981",40.7228696319058,385.690130736396,54.2138115512678,31.3667139812563
"5076","ENSMUSG00000068394",40.7228696319058,218.329610478978,61.2550553079322,12.4668658457432
"5077","ENSMUSG00000068580",40.7228696319058,150.734189647884,46.8438833552419,56.208935727526
"5078","ENSMUSG00000074221",40.7228696319058,236.064447418733,19.6667531802411,42.1039913529189
"5079","ENSMUSG00000076435",40.7228696319058,141.554106594744,184.530948002977,54.8697315246017
"5080","ENSMUSG00000004994",40.7228696319058,282.269430533072,158.063709715936,39.607560587235
"5081","ENSMUSG00000015846",40.9071360103307,278.200008851964,24.0238922735721,73.2838413405389
"5082","ENSMUSG00000021578",40.9071360103307,94.1913987449906,56.0487707570387,40.7766881460247
"5083","ENSMUSG00000024072",40.9071360103307,132.688664611225,127.723488885539,9.13481042538529
"5084","ENSMUSG00000024830",40.9071360103307,164.914425137386,33.7754317734861,52.1940679117627
"5085","ENSMUSG00000025027",40.9071360103307,190.613111742019,184.132012178603,27.7268997857912
"5086","ENSMUSG00000025384",40.9071360103307,207.54597326774,529.841278686105,79.5870944007731
"5087","ENSMUSG00000026142",40.9071360103307,113.33609406544,9.50470860417101,439.956707440375
"5088","ENSMUSG00000028268",40.9071360103307,123.564647206516,136.808795318843,89.1849635174772
"5089","ENSMUSG00000031781",40.9071360103307,563.667674070747,305.087072620086,61.6981383138603
"5090","ENSMUSG00000032806",40.9071360103307,213.693469372803,98.7118009885145,100.006155780861
"5091","ENSMUSG00000033554",40.9071360103307,250.66999747292,46.8361814896615,24.3312340470109
"5092","ENSMUSG00000036959",40.9071360103307,231.714701184487,475.421730845953,49.3033856354105
"5093","ENSMUSG00000044894",40.9071360103307,199.018322475954,84.6869530710458,29.4665928600423
"5094","ENSMUSG00000055862",40.9071360103307,169.995298137966,304.93548896014,51.9090393061435
"5095","ENSMUSG00000063785",40.9071360103307,141.203250162589,76.1248666911285,18.4892908358691
"5096","ENSMUSG00000066640",40.9071360103307,624.703769764317,13.0063364528946,138.985461956858
"5097","ENSMUSG00000073434",41.0914023887556,314.191655864537,25.7705781773894,249.932533649776
"5098","ENSMUSG00000097048",41.0914023887556,235.419536693104,51.6764016887752,34.3713607188461
"5099","ENSMUSG00000003848",41.0914023887556,239.577899617034,13.5167709609008,86.6579209351018
"5100","ENSMUSG00000005510",41.0914023887556,327.731367726582,81.8955317159146,26.5359998472787
"5101","ENSMUSG00000021635",41.0914023887556,254.029446936719,424.419764293587,88.2931480659433
"5102","ENSMUSG00000021639",41.0914023887556,180.895493586745,48.0491206256796,41.5981921647423
"5103","ENSMUSG00000022110",41.0914023887556,185.987892984957,53.3604511950467,1136.14789472515
"5104","ENSMUSG00000026377",41.0914023887556,28.8378639979702,4.97485738631119,9.52060188175879
"5105","ENSMUSG00000026663",41.0914023887556,132.740410628525,81.2337202110146,28.3761730453667
"5106","ENSMUSG00000026946",41.2756687671805,158.765341543349,252.302169666967,41.5125029374334
"5107","ENSMUSG00000027944",41.2756687671805,38.4759447648096,121.810104388695,635.556878865961
"5108","ENSMUSG00000028252",41.2756687671805,95.9094101878929,41.3619046716182,299.999033742744
"5109","ENSMUSG00000030604",41.2756687671805,160.332934191624,271.388725316051,21.8350709085049
"5110","ENSMUSG00000032733",41.2756687671805,216.112439802342,58.76982094222,23.6046234880672
"5111","ENSMUSG00000034748",41.2756687671805,191.255914459427,211.519441053603,37.6895761245609
"5112","ENSMUSG00000041920",41.4599351456054,156.060135093807,163.146372155906,18.5608909064898
"5113","ENSMUSG00000042719",41.4599351456054,273.136531226344,169.233544221472,8.82640138964406
"5114","ENSMUSG00000044876",41.4599351456054,306.575274214802,689.537254673169,18.2555213522199
"5115","ENSMUSG00000045136",41.4599351456054,119.447775097584,76.5912079872149,109.642058169743
"5116","ENSMUSG00000045665",41.4599351456054,199.556843498863,53.6509409121389,4.09849168573708
"5117","ENSMUSG00000045917",41.4599351456054,338.386736579775,261.021911952709,44.1951208076893
"5118","ENSMUSG00000048930",41.4599351456054,523.407105742812,80.7937437510726,4.68666647269467
